Time,Datapoint
2013-08-28 0:3:0,81.0811,0
2013-08-28 0:3:1,74.0741,0
2013-08-28 0:3:2,70.5882,0
2013-08-28 0:3:3,72.2892,0
2013-08-28 0:3:4,75.9494,0
2013-08-28 0:3:5,76.9231,0
2013-08-28 0:3:5,77.9221,0
2013-08-28 0:3:6,78.9474,0
2013-08-28 0:3:7,80,0
2013-08-28 0:3:8,82.1918,0
2013-08-28 0:3:8,81.0811,0
2013-08-28 0:3:9,82.1918,0
2013-08-28 0:3:10,83.3333,0
2013-08-28 0:3:10,83.3333,0
2013-08-28 0:3:11,84.507,0
2013-08-28 0:3:12,85.7143,0
2013-08-28 0:3:13,88.2353,0
2013-08-28 0:3:13,90.9091,0
2013-08-28 0:3:14,90.9091,0
2013-08-28 0:3:15,93.75,0
2013-08-28 0:3:15,95.2381,0
2013-08-28 0:3:16,95.2381,0
2013-08-28 0:3:17,96.7742,0
2013-08-28 0:3:18,98.3607,1
2013-08-28 0:3:18,98.3607,0
2013-08-28 0:3:19,93.75,0
2013-08-28 0:3:22,80,1
2013-08-28 0:3:23,78.9474,0
2013-08-28 0:3:23,75.9494,0
2013-08-28 0:3:24,75,0
2013-08-28 0:3:25,75.9494,0
2013-08-28 0:3:26,75,0
2013-08-28 0:3:27,76.9231,0
2013-08-28 0:3:27,76.9231,0
2013-08-28 0:3:28,71.4286,0
2013-08-28 0:3:29,72.2892,0
2013-08-28 0:3:30,75,0
2013-08-28 0:3:31,72.2892,0
2013-08-28 0:3:31,72.2892,0
2013-08-28 0:3:32,76.9231,0
2013-08-28 0:3:33,76.9231,0
2013-08-28 0:3:34,75.9494,0
2013-08-28 0:3:35,72.2892,0
2013-08-28 0:3:35,72.2892,0
2013-08-28 0:3:36,78.9474,0
2013-08-28 0:3:37,84.507,0
2013-08-28 0:3:38,84.507,0
2013-08-28 0:3:38,86.9565,0
2013-08-28 0:3:39,83.3333,0
2013-08-28 0:3:40,81.0811,0
2013-08-28 0:3:41,74.0741,0
2013-08-28 0:3:41,77.9221,0
2013-08-28 0:3:42,74.0741,0
2013-08-28 0:3:43,73.1707,0
2013-08-28 0:3:44,71.4286,0
2013-08-28 0:3:45,76.9231,0
2013-08-28 0:3:45,80,0
2013-08-28 0:3:46,80,0
2013-08-28 0:3:47,83.3333,0
2013-08-28 0:3:48,84.507,0
2013-08-28 0:3:48,88.2353,0
